Id,Account__c,Start_Date__c,End_Date__c,Product_Family__c,ARR__c,Prior_ARR__c,Status__c,Renewal_Outcome__c,Churn_Reason__c,Renewal_Opportunity__c
a00000000000256,001000000002201,2024-01-02,2025-03-23,Analytics,13555,13555,Active,Renewed,,
a00000000000257,001000000003032,2024-01-02,2025-03-14,Analytics,9371,9371,Active,Renewed,,
a00000000000258,001000000003232,2024-01-02,2025-01-30,Core,15777,15777,Active,Renewed,,
a00000000000259,001000000001000,2024-01-02,2025-02-03,Core,11475,11475,Active,Renewed,,
a00000000000260,001000000001835,2024-01-02,2025-01-25,Core,12721,12721,Active,Renewed,,
a00000000000261,001000000001375,2024-01-02,2025-01-22,Platform,11841,11841,Active,Renewed,,
a00000000000262,001000000004020,2024-01-02,2025-02-17,Core,10727,10727,Active,Renewed,,
a00000000000263,001000000000491,2024-01-02,2025-03-19,Platform,10946,10946,Active,Renewed,,
a00000000000264,001000000001875,2024-01-02,2025-01-22,Automation,20191,8649,Active,Renewed,,
a00000000000265,001000000000595,2024-01-02,2025-02-28,Analytics,17274,8649,Active,Renewed,,
a00000000000266,001000000003913,2024-01-02,2025-02-06,Platform,11493,11493,Active,Renewed,,
a00000000000267,001000000003841,2024-01-02,2025-01-23,Core,12867,16458,Active,Downgraded,,
a00000000000268,001000000003216,2024-01-02,2025-01-30,Analytics,14261,16409,Active,Downgraded,,
a00000000000269,001000000001241,2024-01-02,2025-01-16,Core,13938,13938,Active,Renewed,,
a00000000000270,001000000000117,2024-01-02,2025-01-15,Automation,27042,13373,Active,Renewed,,
a00000000000271,001000000003058,2024-01-02,2025-02-26,Platform,11222,11222,Active,Renewed,,
a00000000000272,001000000003812,2024-01-02,2025-03-01,Core,16971,16971,Active,Renewed,,
a00000000000273,001000000004638,2024-01-02,2025-01-13,Analytics,13410,13410,Active,Renewed,,
a00000000000274,001000000000829,2024-01-02,2025-03-04,Analytics,10660,10660,Active,Renewed,,
a00000000000275,001000000002865,2024-01-02,2025-01-18,Analytics,12841,12841,Active,Renewed,,
a00000000000276,001000000002484,2024-01-02,2025-01-15,Core,15727,10371,Active,Renewed,,
a00000000000277,001000000000689,2024-01-02,2025-01-15,Analytics,11081,11081,Active,Renewed,,
a00000000000278,001000000004691,2024-01-02,2025-03-08,Analytics,17906,13216,Active,Renewed,,
a00000000000279,001000000003333,2024-01-02,2025-01-14,Automation,23081,13718,Active,Renewed,,
a00000000000280,001000000004951,2024-01-02,2025-01-17,Core,8441,8441,Active,Renewed,,
a00000000000281,001000000000036,2024-01-02,2025-01-21,Platform,17543,8268,Active,Renewed,,
a00000000000282,001000000003209,2024-01-02,2025-02-15,Analytics,14613,14613,Active,Renewed,,
a00000000000283,001000000000362,2024-01-02,2025-02-13,Analytics,17233,10219,Active,Renewed,,
a00000000000284,001000000000382,2024-01-02,2025-01-06,Platform,11752,11752,Active,Renewed,,
a00000000000285,001000000003264,2024-01-02,2025-02-01,Automation,12601,12601,Active,Renewed,,
a00000000000286,001000000003372,2024-01-02,2025-03-17,Analytics,14474,14474,Active,Renewed,,
a00000000000287,001000000002895,2024-01-02,2025-03-11,Core,11950,11950,Active,Renewed,,
a00000000000288,001000000000964,2024-01-02,2025-01-10,Automation,24349,17074,Active,Renewed,,
a00000000000289,001000000000631,2024-01-02,2025-03-09,Platform,7919,7919,Active,Renewed,,
a00000000000290,001000000000538,2024-01-02,2025-01-30,Platform,11617,11617,Active,Renewed,,
a00000000000291,001000000001060,2024-01-02,2025-01-06,Automation,17002,17002,Active,Renewed,,
a00000000000292,001000000003775,2024-01-02,2025-02-02,Automation,22905,11973,Active,Renewed,,
