Id,AccountId,WhatId,ActivityDate,CreatedDate,Type,Subject,Status,Owner_Role__c,Is_Executive_Touch__c,Is_CSM_Touch__c,Days_Before_Renewal__c
00T000000000042,001000000002610,,2024-06-25,2024-06-22,Meeting,Customer follow-up,Completed,AE,false,false,564
00T000000000043,001000000004861,,2025-04-13,2025-04-08,QBR,Support check-in,Completed,CSM,false,true,136
00T000000000044,001000000001689,,2025-04-09,2025-04-05,Email,Support check-in,Completed,SDR,true,false,232
00T000000000045,001000000003743,,2024-09-03,2024-09-03,QBR,Renewal planning,Completed,CSM,false,true,469
00T000000000046,001000000003220,,2024-08-02,2024-08-02,Email,Product adoption review,Open,AE,false,false,384
00T000000000047,001000000001444,,2024-09-16,2024-09-13,Email,Renewal planning,Completed,AE,false,false,547
00T000000000048,001000000002682,,2025-04-13,2025-04-08,QBR,Support check-in,Completed,CSM,true,false,323
00T000000000049,001000000001530,,2025-01-30,2025-01-25,Meeting,Renewal planning,Completed,SDR,false,false,142
00T000000000050,001000000000802,,2024-05-23,2024-05-19,Email,Product adoption review,Completed,AE,false,false,579
00T000000000051,001000000001463,,2024-07-13,2024-07-13,QBR,Renewal planning,Completed,CSM,false,true,438
00T000000000052,001000000002152,,2025-09-19,2025-09-15,Meeting,Renewal planning,Completed,SDR,false,false,-155
00T000000000053,001000000000880,,2025-06-16,2025-06-12,Meeting,Customer follow-up,Completed,AE,false,false,40
00T000000000054,001000000002692,,2025-01-10,2025-01-08,QBR,Product adoption review,Open,AE,false,false,236
00T000000000055,001000000002857,,2025-02-02,2025-01-30,QBR,Support check-in,Completed,CSM,false,true,308
00T000000000056,001000000000982,,2024-03-23,2024-03-18,Meeting,Customer follow-up,Completed,AE,false,false,499
00T000000000057,001000000002646,,2025-04-08,2025-04-04,Meeting,Customer follow-up,Completed,SDR,false,false,235
00T000000000058,001000000000081,,2025-06-09,2025-06-09,Email,Customer follow-up,Completed,AE,false,false,126
00T000000000059,001000000003309,,2024-08-17,2024-08-14,Renewal Review,Product adoption review,Completed,CSM,false,true,560
00T000000000060,001000000003817,,2025-01-20,2025-01-19,Email,Customer follow-up,Completed,CSM,false,true,274
00T000000000061,001000000000433,,2024-01-14,2024-01-09,Renewal Review,Renewal planning,Completed,SDR,false,false,527
00T000000000062,001000000001238,,2024-04-09,2024-04-08,Meeting,Renewal planning,Completed,Support,false,false,694
00T000000000063,001000000003985,,2024-02-12,2024-02-09,QBR,Customer follow-up,Completed,SDR,false,false,483
00T000000000064,001000000000625,,2024-08-22,2024-08-19,Call,Renewal planning,Completed,AE,false,false,397
00T000000000065,001000000000938,,2024-04-29,2024-04-25,QBR,Renewal planning,Completed,Support,false,false,576
00T000000000066,001000000001090,,2024-04-23,2024-04-20,QBR,Product adoption review,Completed,Support,false,false,525
00T000000000067,001000000004352,,2025-01-25,2025-01-21,Meeting,Renewal planning,Completed,Support,false,false,132
00T000000000068,001000000000089,,2024-08-23,2024-08-20,Renewal Review,Renewal planning,Completed,SDR,false,false,411
00T000000000069,001000000003210,,2025-07-05,2025-07-03,Renewal Review,Customer follow-up,Completed,AE,false,false,68
00T000000000070,001000000004676,,2024-07-09,2024-07-04,Renewal Review,Renewal planning,Completed,AE,false,false,526
00T000000000071,001000000002924,,2024-12-11,2024-12-08,QBR,Product adoption review,Completed,CSM,false,true,425
00T000000000072,001000000003214,,2024-11-14,2024-11-10,Renewal Review,Product adoption review,Completed,Support,false,false,345
00T000000000073,001000000002625,,2025-02-17,2025-02-13,QBR,Renewal planning,Open,SDR,false,false,212
00T000000000074,001000000000419,,2024-11-12,2024-11-10,Call,Support check-in,Completed,Support,false,false,245
00T000000000075,001000000003317,,2025-02-22,2025-02-18,Email,Renewal planning,Completed,AE,false,false,216
00T000000000076,001000000001901,,2024-08-03,2024-08-03,Email,Customer follow-up,Completed,SDR,false,false,516
00T000000000077,001000000000611,,2024-01-27,2024-01-25,Meeting,Support check-in,Completed,SDR,false,false,598
00T000000000078,001000000002650,,2024-04-12,2024-04-09,QBR,Renewal planning,Completed,AE,false,false,681
00T000000000079,001000000001605,,2024-02-25,2024-02-25,Meeting,Support check-in,Completed,Support,false,false,445
00T000000000080,001000000001588,,2024-01-19,2024-01-16,Email,Support check-in,Completed,CSM,false,false,664
00T000000000081,001000000003035,,2025-03-16,2025-03-16,Email,Customer follow-up,Completed,CSM,false,true,78
00T000000000082,001000000001635,,2024-10-23,2024-10-21,Email,Customer follow-up,Completed,AE,false,false,347
00T000000000083,001000000004680,,2025-01-07,2025-01-03,Meeting,Support check-in,Completed,AE,false,false,315
00T000000000084,001000000004302,,2025-05-08,2025-05-03,Meeting,Customer follow-up,Completed,AE,false,false,289
00T000000000085,001000000001645,,2024-12-20,2024-12-15,Meeting,Renewal planning,Completed,CSM,true,true,382
00T000000000086,001000000000344,,2024-09-23,2024-09-21,Email,Product adoption review,Completed,Support,false,false,360
00T000000000087,001000000003639,,2025-02-21,2025-02-19,Meeting,Product adoption review,Completed,SDR,false,false,273
00T000000000088,001000000002819,,2025-01-07,2025-01-07,QBR,Product adoption review,Completed,CSM,false,true,407
00T000000000089,001000000004608,,2025-07-08,2025-07-06,Call,Customer follow-up,Completed,Support,false,false,106
00T000000000090,001000000004455,,2025-06-03,2025-06-02,Email,Renewal planning,Completed,SDR,false,false,164
00T000000000091,001000000002127,,2024-04-18,2024-04-17,Meeting,Renewal planning,Completed,CSM,true,true,548
00T000000000092,001000000004592,,2024-11-06,2024-11-02,Email,Product adoption review,Completed,AE,false,false,343
00T000000000093,001000000000340,,2025-06-28,2025-06-26,Meeting,Product adoption review,Completed,SDR,false,false,83
00T000000000094,001000000003559,,2025-03-26,2025-03-22,Email,Renewal planning,Completed,Support,false,false,298
00T000000000095,001000000001518,,2024-04-01,2024-03-27,Renewal Review,Renewal planning,Completed,Support,false,false,556
00T000000000096,001000000003660,,2024-01-17,2024-01-12,Meeting,Customer follow-up,Completed,AE,true,false,751
00T000000000097,001000000000900,,2025-01-20,2025-01-20,Email,Renewal planning,Completed,AE,false,false,173
00T000000000098,001000000001974,,2025-02-19,2025-02-18,Call,Customer follow-up,Completed,CSM,false,true,362
00T000000000099,001000000002088,,2025-04-11,2025-04-07,Call,Renewal planning,Completed,AE,false,false,23
00T000000000100,001000000000482,,2025-03-24,2025-03-23,Meeting,Support check-in,Completed,SDR,false,false,172
00T000000000101,001000000000557,,2024-05-24,2024-05-23,Meeting,Renewal planning,Completed,CSM,false,false,476
00T000000000102,001000000001843,,2024-10-24,2024-10-22,Meeting,Renewal planning,Completed,Support,false,false,443
00T000000000103,001000000003859,,2024-03-23,2024-03-18,Email,Customer follow-up,Completed,SDR,false,false,652
00T000000000104,001000000004955,,2025-07-25,2025-07-21,Call,Renewal planning,Completed,Support,false,false,-33
00T000000000105,001000000004213,,2025-06-04,2025-06-04,Renewal Review,Customer follow-up,Completed,CSM,false,true,35
00T000000000106,001000000001619,,2025-07-21,2025-07-18,Meeting,Product adoption review,Completed,SDR,false,false,45
00T000000000107,001000000003717,,2025-01-13,2025-01-08,Renewal Review,Customer follow-up,Completed,AE,false,false,131
00T000000000108,001000000004335,,2025-01-11,2025-01-10,Meeting,Product adoption review,Completed,SDR,false,false,244
00T000000000109,001000000002894,,2025-04-03,2025-04-03,Renewal Review,Product adoption review,Completed,Support,false,false,289
00T000000000110,001000000001170,,2024-03-12,2024-03-10,Call,Support check-in,Open,Support,false,false,421
00T000000000111,001000000004258,,2025-05-29,2025-05-26,Call,Product adoption review,Completed,CSM,false,true,253
00T000000000112,001000000004566,,2024-12-27,2024-12-23,Meeting,Renewal planning,Completed,Support,false,false,187
00T000000000113,001000000004694,,2024-04-13,2024-04-13,Renewal Review,Support check-in,Completed,AE,false,false,433
00T000000000114,001000000004144,,2024-12-13,2024-12-13,Renewal Review,Support check-in,Completed,AE,true,false,346
00T000000000115,001000000003798,,2025-06-28,2025-06-26,Call,Support check-in,Completed,CSM,true,true,244
00T000000000116,001000000001450,,2024-06-17,2024-06-17,Email,Customer follow-up,Completed,AE,true,false,442
00T000000000117,001000000002578,,2025-02-04,2025-02-02,QBR,Renewal planning,Completed,SDR,false,false,139
00T000000000118,001000000004909,,2024-06-03,2024-06-02,Email,Customer follow-up,Completed,CSM,false,true,553
00T000000000119,001000000000523,,2025-08-14,2025-08-14,Email,Renewal planning,Completed,AE,false,false,37
00T000000000120,001000000002306,,2025-05-05,2025-05-04,Email,Renewal planning,Completed,Support,false,false,260
00T000000000121,001000000004493,,2025-06-14,2025-06-09,Renewal Review,Renewal planning,Completed,CSM,false,true,22
00T000000000122,001000000002812,,2024-08-24,2024-08-20,Call,Customer follow-up,Completed,Support,false,false,509
00T000000000123,001000000004327,,2025-02-10,2025-02-10,Call,Customer follow-up,Open,CSM,false,true,230
00T000000000124,001000000004089,,2025-04-12,2025-04-09,Meeting,Support check-in,Completed,AE,false,false,271
00T000000000125,001000000004898,,2025-04-21,2025-04-20,QBR,Support check-in,Completed,AE,false,false,69
00T000000000126,001000000004217,,2024-01-12,2024-01-07,Email,Customer follow-up,Completed,Support,false,false,588
00T000000000127,001000000004828,,2025-03-11,2025-03-09,QBR,Support check-in,Completed,AE,false,false,137
00T000000000128,001000000002945,,2025-05-08,2025-05-04,Renewal Review,Customer follow-up,Completed,CSM,false,true,26
00T000000000129,001000000003386,,2024-04-27,2024-04-25,Call,Renewal planning,Completed,SDR,false,false,482
00T000000000130,001000000004470,,2024-02-06,2024-02-02,QBR,Support check-in,Completed,SDR,false,false,719
00T000000000131,001000000004813,,2025-01-27,2025-01-23,Call,Renewal planning,Completed,CSM,false,true,138
00T000000000132,001000000000473,,2024-08-28,2024-08-25,Meeting,Customer follow-up,Completed,SDR,true,false,427
00T000000000133,001000000004314,,2025-04-16,2025-04-11,Call,Renewal planning,Completed,AE,false,false,304
00T000000000134,001000000004294,,2025-09-28,2025-09-24,Call,Product adoption review,Completed,SDR,false,false,19
00T000000000135,001000000000687,,2025-05-15,2025-05-10,QBR,Customer follow-up,Completed,Support,false,false,-31
00T000000000136,001000000001802,,2025-04-25,2025-04-23,Meeting,Support check-in,Completed,CSM,false,true,208
00T000000000137,001000000002777,,2024-08-25,2024-08-20,Meeting,Customer follow-up,Completed,CSM,false,true,258
00T000000000138,001000000004269,,2025-08-24,2025-08-23,Email,Support check-in,Completed,SDR,false,false,149
00T000000000139,001000000000869,,2024-12-06,2024-12-04,Meeting,Product adoption review,Completed,AE,true,false,332
00T000000000140,001000000001552,,2025-04-23,2025-04-20,Renewal Review,Product adoption review,Completed,Support,false,false,38
00T000000000141,001000000004580,,2024-11-12,2024-11-09,Email,Renewal planning,Completed,AE,false,false,331
00T000000000142,001000000000979,,2025-05-20,2025-05-18,Email,Product adoption review,Completed,CSM,false,true,-27
00T000000000143,001000000001958,,2024-09-02,2024-08-29,Call,Renewal planning,Completed,Support,false,false,365
00T000000000144,001000000003374,,2025-02-20,2025-02-20,Email,Renewal planning,Completed,Support,false,false,164
00T000000000145,001000000000856,,2024-10-10,2024-10-05,QBR,Customer follow-up,Completed,SDR,false,false,271
00T000000000146,001000000001408,,2024-03-12,2024-03-12,Email,Renewal planning,Completed,SDR,false,false,642
00T000000000147,001000000002093,,2024-09-08,2024-09-06,Email,Support check-in,Completed,SDR,false,false,497
00T000000000148,001000000003646,,2024-01-28,2024-01-28,Email,Support check-in,Open,SDR,false,false,642
00T000000000149,001000000004063,,2024-12-17,2024-12-12,Call,Renewal planning,Completed,CSM,false,true,113
00T000000000150,001000000002616,,2024-12-31,2024-12-27,Renewal Review,Renewal planning,Completed,CSM,false,true,207
00T000000000151,001000000002564,,2024-03-16,2024-03-13,QBR,Support check-in,Completed,CSM,true,true,498
00T000000000152,001000000001556,,2024-03-31,2024-03-29,QBR,Renewal planning,Completed,AE,false,false,559
00T000000000153,001000000001584,,2024-07-15,2024-07-13,QBR,Customer follow-up,Completed,SDR,false,false,302
00T000000000154,001000000003313,,2024-02-22,2024-02-22,Email,Support check-in,Completed,AE,false,false,510
00T000000000155,001000000000736,,2025-04-24,2025-04-19,QBR,Renewal planning,Completed,AE,false,false,271
00T000000000156,001000000000946,,2025-07-28,2025-07-24,Call,Renewal planning,Completed,SDR,false,false,-76
00T000000000157,001000000003891,,2025-09-17,2025-09-15,Email,Support check-in,Completed,SDR,false,false,-121
00T000000000158,001000000003440,,2024-05-31,2024-05-28,Meeting,Renewal planning,Completed,SDR,false,false,323
00T000000000159,001000000000162,,2024-09-05,2024-09-05,QBR,Product adoption review,Completed,CSM,false,true,464
00T000000000160,001000000000408,,2024-10-27,2024-10-24,Email,Customer follow-up,Completed,AE,false,false,344
00T000000000161,001000000004803,,2025-09-26,2025-09-22,Email,Product adoption review,Completed,SDR,false,false,101
00T000000000162,001000000004425,,2025-01-05,2025-01-05,QBR,Renewal planning,Completed,SDR,false,false,450
00T000000000163,001000000002586,,2025-07-20,2025-07-16,Call,Renewal planning,Completed,CSM,false,true,125
00T000000000164,001000000004632,,2024-11-02,2024-10-30,QBR,Product adoption review,Completed,CSM,false,true,269
00T000000000165,001000000000730,,2024-06-14,2024-06-11,QBR,Product adoption review,Completed,SDR,false,false,293
00T000000000166,001000000002948,,2025-07-23,2025-07-19,Renewal Review,Product adoption review,Completed,Support,false,false,126
00T000000000167,001000000000774,,2024-11-04,2024-10-30,Renewal Review,Renewal planning,Completed,Support,false,false,233
00T000000000168,001000000003897,,2024-03-02,2024-02-28,Renewal Review,Support check-in,Completed,Support,false,false,586
00T000000000169,001000000001416,,2025-02-22,2025-02-22,Email,Customer follow-up,Completed,Support,false,false,205
00T000000000170,001000000004656,,2025-02-13,2025-02-13,Renewal Review,Customer follow-up,Completed,Support,true,false,376
00T000000000171,001000000001132,,2024-05-17,2024-05-12,QBR,Product adoption review,Open,AE,false,false,336
00T000000000172,001000000002635,,2024-10-25,2024-10-21,Meeting,Customer follow-up,Completed,SDR,false,false,489
00T000000000173,001000000004087,,2025-01-26,2025-01-26,QBR,Support check-in,Completed,SDR,false,false,122
00T000000000174,001000000003638,,2024-07-21,2024-07-18,QBR,Support check-in,Completed,SDR,false,false,534
00T000000000175,001000000004005,,2025-07-02,2025-06-29,Renewal Review,Product adoption review,Completed,SDR,false,false,26
00T000000000176,001000000000612,,2024-11-08,2024-11-06,QBR,Product adoption review,Completed,Support,false,false,237
00T000000000177,001000000002780,,2024-05-14,2024-05-10,Renewal Review,Support check-in,Completed,AE,false,false,480
00T000000000178,001000000000334,,2024-12-21,2024-12-18,Meeting,Renewal planning,Completed,SDR,false,false,122
00T000000000179,001000000000849,,2024-06-24,2024-06-21,Email,Renewal planning,Completed,AE,false,false,411
00T000000000180,001000000003728,,2024-05-23,2024-05-22,Meeting,Customer follow-up,Completed,SDR,false,false,595
00T000000000181,001000000004543,,2024-03-31,2024-03-31,Call,Support check-in,Completed,Support,false,false,372
00T000000000182,001000000002490,,2025-06-17,2025-06-13,QBR,Support check-in,Completed,AE,false,false,-68
00T000000000183,001000000004214,,2025-02-23,2025-02-18,QBR,Renewal planning,Completed,AE,true,false,190
00T000000000184,001000000001500,,2025-03-03,2025-02-28,Meeting,Product adoption review,Completed,Support,false,false,201
00T000000000185,001000000002004,,2024-04-09,2024-04-09,Meeting,Support check-in,Completed,SDR,false,false,638
00T000000000186,001000000004375,,2024-09-21,2024-09-18,Call,Customer follow-up,Completed,CSM,false,true,246
00T000000000187,001000000000153,,2025-01-07,2025-01-07,Renewal Review,Support check-in,Completed,Support,false,false,246
00T000000000188,001000000000509,,2025-05-20,2025-05-16,Call,Product adoption review,Completed,Support,false,false,81
00T000000000189,001000000002819,,2024-05-25,2024-05-21,QBR,Renewal planning,Completed,Support,false,false,634
00T000000000190,001000000002898,,2025-03-26,2025-03-21,Renewal Review,Customer follow-up,Completed,AE,false,false,205
00T000000000191,001000000000171,,2024-05-18,2024-05-14,Renewal Review,Renewal planning,Completed,AE,false,false,681
00T000000000192,001000000003053,,2024-12-30,2024-12-28,QBR,Product adoption review,Completed,SDR,false,false,93
00T000000000193,001000000000791,,2025-06-29,2025-06-26,QBR,Customer follow-up,Completed,CSM,false,true,-72
00T000000000194,001000000002127,,2025-03-12,2025-03-10,Renewal Review,Renewal planning,Completed,SDR,false,false,220
00T000000000195,001000000001426,,2025-01-09,2025-01-09,QBR,Product adoption review,Completed,AE,false,false,236
00T000000000196,001000000003042,,2024-09-19,2024-09-17,QBR,Renewal planning,Completed,SDR,false,false,284
00T000000000197,001000000002639,,2024-12-02,2024-11-30,Call,Customer follow-up,Completed,AE,false,false,294
00T000000000198,001000000001309,,2025-05-09,2025-05-07,Call,Support check-in,Open,AE,false,false,191
00T000000000199,001000000001883,,2025-05-22,2025-05-18,Meeting,Product adoption review,Completed,SDR,false,false,310
00T000000000200,001000000002913,,2025-01-27,2025-01-25,Meeting,Support check-in,Open,SDR,false,false,325
00T000000000201,001000000003521,,2025-02-02,2025-01-31,Email,Customer follow-up,Open,SDR,false,false,64
00T000000000202,001000000001874,,2024-03-04,2024-03-04,Renewal Review,Support check-in,Completed,Support,false,false,477
00T000000000203,001000000002246,,2025-09-17,2025-09-12,QBR,Customer follow-up,Completed,SDR,false,false,-49
00T000000000204,001000000000277,,2025-09-07,2025-09-07,Meeting,Renewal planning,Completed,Support,false,false,75
00T000000000205,001000000003856,,2024-07-07,2024-07-03,QBR,Support check-in,Completed,Support,false,false,353
00T000000000206,001000000000880,,2024-01-29,2024-01-27,Email,Renewal planning,Completed,AE,true,false,544
00T000000000207,001000000000194,,2025-06-30,2025-06-25,Email,Product adoption review,Open,Support,false,false,101
00T000000000208,001000000004887,,2025-05-27,2025-05-22,QBR,Support check-in,Completed,SDR,false,false,282
00T000000000209,001000000000021,,2025-05-23,2025-05-19,Meeting,Customer follow-up,Completed,SDR,false,false,303
00T000000000210,001000000002830,,2024-05-19,2024-05-14,QBR,Customer follow-up,Completed,AE,false,false,625
00T000000000211,001000000000384,,2024-07-08,2024-07-04,Email,Renewal planning,Completed,AE,false,false,427
00T000000000212,001000000002101,,2024-06-23,2024-06-19,QBR,Support check-in,Completed,SDR,false,false,368
00T000000000213,001000000000090,,2025-06-08,2025-06-04,QBR,Product adoption review,Completed,SDR,false,false,293
00T000000000214,001000000001716,,2024-09-10,2024-09-08,Renewal Review,Renewal planning,Completed,AE,false,false,471
00T000000000215,001000000003628,,2024-02-06,2024-02-04,Meeting,Support check-in,Completed,SDR,true,false,613
00T000000000216,001000000002908,,2024-06-20,2024-06-16,Renewal Review,Renewal planning,Completed,Support,false,false,397
00T000000000217,001000000003434,,2024-08-28,2024-08-24,QBR,Product adoption review,Completed,AE,false,false,363
00T000000000218,001000000001455,,2025-03-04,2025-03-04,QBR,Support check-in,Completed,AE,false,false,151
00T000000000219,001000000003652,,2024-08-30,2024-08-26,Email,Renewal planning,Completed,CSM,false,true,347
00T000000000220,001000000000397,,2024-11-09,2024-11-09,QBR,Product adoption review,Completed,SDR,false,false,446
00T000000000221,001000000003908,,2024-05-27,2024-05-24,QBR,Support check-in,Open,SDR,false,false,622
00T000000000222,001000000003897,,2024-09-01,2024-08-31,Email,Product adoption review,Completed,CSM,false,true,403
00T000000000223,001000000000153,,2025-06-29,2025-06-28,Call,Product adoption review,Completed,SDR,false,false,73
00T000000000224,001000000000509,,2024-02-10,2024-02-06,QBR,Support check-in,Completed,Support,false,false,546
00T000000000225,001000000001122,,2024-02-13,2024-02-11,Call,Product adoption review,Completed,SDR,false,false,692
00T000000000226,001000000003130,,2025-07-05,2025-07-01,Call,Renewal planning,Open,SDR,false,false,206
00T000000000227,001000000003115,,2025-06-10,2025-06-06,Renewal Review,Renewal planning,Completed,CSM,false,false,137
00T000000000228,001000000004822,,2024-10-09,2024-10-04,Email,Customer follow-up,Completed,AE,true,false,491
00T000000000229,001000000003975,,2024-08-08,2024-08-05,QBR,Product adoption review,Completed,CSM,false,true,406
00T000000000230,001000000002145,,2024-09-19,2024-09-15,Email,Customer follow-up,Completed,CSM,false,true,195
00T000000000231,001000000001296,,2024-07-11,2024-07-09,Meeting,Customer follow-up,Completed,AE,false,false,342
00T000000000232,001000000002319,,2025-04-29,2025-04-24,Meeting,Product adoption review,Completed,SDR,false,false,64
00T000000000233,001000000002111,,2024-04-01,2024-03-30,QBR,Product adoption review,Completed,SDR,false,false,505
00T000000000234,001000000000048,,2024-02-12,2024-02-11,Call,Support check-in,Completed,Support,false,false,682
00T000000000235,001000000001633,,2024-08-07,2024-08-06,Call,Renewal planning,Completed,SDR,false,false,334
00T000000000236,001000000004576,,2025-04-19,2025-04-18,Renewal Review,Support check-in,Open,Support,false,false,263
00T000000000237,001000000003628,,2024-04-24,2024-04-20,Meeting,Customer follow-up,Completed,SDR,false,false,535
00T000000000238,001000000000451,,2024-02-07,2024-02-04,QBR,Product adoption review,Completed,SDR,false,false,745
00T000000000239,001000000004125,,2025-05-31,2025-05-29,Email,Renewal planning,Completed,AE,false,false,117
00T000000000240,001000000001380,,2025-08-12,2025-08-08,Call,Product adoption review,Completed,CSM,false,true,46
00T000000000241,001000000001962,,2025-02-03,2025-02-02,Call,Customer follow-up,Completed,Support,false,false,205
00T000000000242,001000000003494,,2025-04-11,2025-04-08,Meeting,Customer follow-up,Completed,SDR,false,false,180
00T000000000243,001000000002326,,2025-07-07,2025-07-02,Renewal Review,Customer follow-up,Completed,CSM,true,false,161
00T000000000244,001000000000545,,2024-12-31,2024-12-26,Email,Product adoption review,Open,CSM,false,true,339
00T000000000245,001000000003438,,2025-07-18,2025-07-13,Meeting,Customer follow-up,Completed,CSM,false,false,162
00T000000000246,001000000002939,,2025-01-25,2025-01-20,Meeting,Support check-in,Completed,AE,true,false,258
00T000000000247,001000000002012,,2024-06-29,2024-06-27,Email,Renewal planning,Completed,SDR,false,false,410
00T000000000248,001000000003177,,2025-07-05,2025-07-04,Renewal Review,Product adoption review,Completed,Support,true,false,217
00T000000000249,001000000004298,,2025-08-02,2025-08-01,Renewal Review,Customer follow-up,Completed,Support,false,false,35
00T000000000250,001000000004246,,2024-04-09,2024-04-08,Renewal Review,Customer follow-up,Completed,CSM,false,true,462
00T000000000251,001000000000087,,2024-07-18,2024-07-15,QBR,Renewal planning,Open,AE,false,false,400
00T000000000252,001000000000617,,2024-05-12,2024-05-12,Email,Product adoption review,Completed,SDR,false,false,501
00T000000000253,001000000000286,,2024-02-22,2024-02-18,Email,Product adoption review,Completed,CSM,false,false,550
00T000000000254,001000000002005,,2024-09-17,2024-09-17,Email,Customer follow-up,Completed,AE,false,false,305
00T000000000255,001000000002155,,2024-03-16,2024-03-15,Call,Renewal planning,Completed,SDR,false,false,487
00T000000000256,001000000003288,,2024-07-11,2024-07-11,Meeting,Support check-in,Completed,SDR,false,false,399
00T000000000257,001000000003329,,2024-12-04,2024-12-04,Meeting,Support check-in,Completed,SDR,false,false,472
00T000000000258,001000000004935,,2025-03-08,2025-03-05,Meeting,Product adoption review,Completed,AE,false,false,112
00T000000000259,001000000002934,,2025-01-15,2025-01-15,Call,Product adoption review,Completed,CSM,false,true,376
00T000000000260,001000000001930,,2024-07-10,2024-07-08,Renewal Review,Renewal planning,Completed,CSM,true,true,357
00T000000000261,001000000004571,,2024-12-25,2024-12-20,Email,Product adoption review,Completed,AE,false,false,177
00T000000000262,001000000002999,,2025-06-10,2025-06-05,QBR,Renewal planning,Completed,AE,false,false,107
