Id,AccountId,CreatedDate,ClosedDate,Status,Priority,Severity__c,Type,Resolution_Hours__c,Is_Escalated,Customer_Sentiment__c
500000000000083,001000000000083,2025-05-25,,New,Critical,Sev2,How-to,,true,Neutral
500000000000084,001000000000084,2025-05-11,,New,High,Sev1,Billing,,true,Negative
500000000000085,001000000000085,2025-04-06,,New,Critical,Sev2,Performance,,true,Negative
500000000000086,001000000000086,2025-06-27,,Escalated,Critical,Sev1,Bug,,true,Neutral
500000000000087,001000000000087,2025-05-06,,Escalated,High,Sev2,Performance,,true,Neutral
500000000000088,001000000000088,2025-04-10,,New,Critical,Sev2,Integration,,true,Negative
500000000000089,001000000000089,2025-06-11,,Escalated,Critical,Sev2,How-to,,true,Negative
500000000000090,001000000000090,2025-04-05,,Escalated,High,Sev1,Billing,,true,Neutral
500000000000091,001000000000091,2025-04-03,,Escalated,High,Sev2,Billing,,true,Neutral
500000000000092,001000000000092,2025-05-03,,New,High,Sev1,Integration,,true,Neutral
500000000000093,001000000000093,2025-04-21,,Working,Critical,Sev1,Bug,,true,Neutral
500000000000094,001000000000094,2025-06-08,,Escalated,High,Sev1,Performance,,true,Negative
500000000000095,001000000000095,2025-06-03,,Escalated,Critical,Sev2,Performance,,true,Negative
500000000000096,001000000000096,2025-06-19,,New,Critical,Sev2,Integration,,true,Negative
500000000000097,001000000000097,2025-04-17,,Working,Critical,Sev2,Performance,,true,Neutral
500000000000098,001000000000098,2025-04-18,,Escalated,Critical,Sev1,Billing,,true,Neutral
500000000000099,001000000000099,2025-05-26,,New,High,Sev1,Integration,,true,Neutral
500000000000100,001000000000100,2025-05-13,,Working,Critical,Sev2,Billing,,true,Neutral
500000000000101,001000000000101,2025-04-01,,New,High,Sev2,Integration,,true,Negative
500000000000102,001000000000102,2025-05-16,,Working,Critical,Sev1,How-to,,true,Neutral
500000000000103,001000000000103,2025-04-11,,Escalated,Critical,Sev1,How-to,,true,Negative
500000000000104,001000000000104,2025-05-24,,Working,High,Sev2,Integration,,true,Neutral
500000000000105,001000000000105,2025-05-23,,New,Critical,Sev2,Bug,,true,Neutral
500000000000106,001000000000106,2025-04-23,,Escalated,High,Sev1,How-to,,true,Negative
500000000000107,001000000000107,2025-06-13,,New,Critical,Sev2,Performance,,true,Negative
500000000000108,001000000000108,2025-04-13,,Escalated,Critical,Sev2,Performance,,true,Neutral
500000000000109,001000000000109,2025-05-26,,Escalated,High,Sev2,Performance,,true,Negative
500000000000110,001000000000110,2025-05-02,,Working,Critical,Sev1,Bug,,true,Neutral
500000000000111,001000000000111,2025-05-18,,New,High,Sev1,Performance,,true,Neutral
500000000000112,001000000000112,2025-06-13,,Escalated,High,Sev2,Billing,,true,Neutral
500000000000113,001000000000113,2025-06-04,,Working,High,Sev1,Bug,,true,Neutral
500000000000114,001000000000114,2025-06-09,,Working,Critical,Sev1,How-to,,true,Negative
500000000000115,001000000000115,2025-04-18,,New,High,Sev1,Performance,,true,Negative
500000000000116,001000000000116,2025-06-27,,New,High,Sev1,Integration,,true,Negative
500000000000117,001000000000117,2025-06-18,,Working,High,Sev1,How-to,,true,Neutral
500000000000118,001000000000118,2025-06-21,,New,Critical,Sev2,Bug,,true,Negative
500000000000119,001000000000119,2025-06-22,,New,High,Sev1,Bug,,true,Negative
500000000000120,001000000000120,2025-04-23,,Working,High,Sev2,Integration,,true,Negative
500000000000121,001000000000121,2025-06-27,,Escalated,High,Sev1,Performance,,true,Negative
500000000000122,001000000000122,2025-06-11,,New,High,Sev2,Integration,,true,Neutral
500000000000123,001000000000123,2025-06-05,,Working,Critical,Sev1,Performance,,true,Neutral
500000000000124,001000000000124,2025-04-01,,Escalated,Critical,Sev1,Performance,,true,Negative
500000000000125,001000000000125,2025-04-09,,Working,High,Sev2,Integration,,true,Negative
500000000000126,001000000000126,2025-05-29,,New,Critical,Sev2,Billing,,true,Neutral
500000000000127,001000000000127,2025-04-20,,Working,Critical,Sev1,Integration,,true,Negative
500000000000128,001000000000128,2025-04-22,,New,High,Sev1,How-to,,true,Neutral
500000000000129,001000000000129,2025-05-02,,Working,High,Sev1,Bug,,true,Negative
500000000000130,001000000000130,2025-06-30,,Escalated,High,Sev1,Bug,,true,Neutral
500000000000131,001000000000131,2025-05-08,,Working,High,Sev2,Bug,,true,Negative
500000000000132,001000000000132,2025-06-26,,Working,High,Sev1,Billing,,true,Neutral
500000000000133,001000000000133,2025-04-11,,Working,Critical,Sev2,Performance,,true,Neutral
500000000000134,001000000000134,2025-04-06,,Working,High,Sev2,Bug,,true,Neutral
500000000000135,001000000000135,2025-05-15,,Working,High,Sev2,How-to,,true,Neutral
500000000000136,001000000000136,2025-06-19,,Working,Critical,Sev2,Bug,,true,Negative
500000000000137,001000000000137,2025-04-15,,Escalated,Critical,Sev2,Performance,,true,Neutral
500000000000138,001000000000138,2025-05-02,,Escalated,High,Sev2,Bug,,true,Negative
500000000000139,001000000000139,2025-05-25,,Working,Critical,Sev1,Billing,,true,Negative
500000000000140,001000000000140,2025-05-28,,New,High,Sev1,How-to,,true,Neutral
500000000000141,001000000000141,2025-04-01,,New,High,Sev2,Integration,,true,Negative
500000000000142,001000000000142,2025-05-23,,Escalated,Critical,Sev2,Bug,,true,Negative
500000000000143,001000000000143,2025-06-02,,New,High,Sev2,Billing,,true,Negative
500000000000144,001000000000144,2025-06-22,,New,High,Sev1,Performance,,true,Neutral
500000000000145,001000000000145,2025-05-23,,Escalated,High,Sev2,Bug,,true,Negative
500000000000146,001000000000146,2025-06-29,,Working,Critical,Sev2,Performance,,true,Neutral
500000000000147,001000000000147,2025-06-04,,New,Critical,Sev2,Integration,,true,Neutral
500000000000148,001000000000148,2025-06-24,,Working,Critical,Sev2,Performance,,true,Neutral
500000000000149,001000000000149,2025-06-16,,Escalated,Critical,Sev1,How-to,,true,Negative
500000000000150,001000000000150,2025-06-10,,Working,High,Sev2,Integration,,true,Neutral
500000000000151,001000000000151,2025-06-07,,New,Critical,Sev2,Integration,,true,Neutral
500000000000152,001000000000152,2025-05-10,,Escalated,Critical,Sev2,Bug,,true,Neutral
500000000000153,001000000000153,2025-06-17,,Working,High,Sev1,Bug,,true,Neutral
500000000000154,001000000000154,2025-05-16,,Working,High,Sev1,Bug,,true,Neutral
500000000000155,001000000000155,2025-04-01,,Escalated,Critical,Sev1,Bug,,true,Negative
500000000000156,001000000000156,2025-04-06,,New,High,Sev1,Integration,,true,Negative
500000000000157,001000000000157,2025-06-05,,Working,High,Sev1,Bug,,true,Neutral
500000000000158,001000000000158,2025-06-28,,Working,High,Sev1,Billing,,true,Neutral
500000000000159,001000000000159,2025-04-04,,New,Critical,Sev1,Performance,,true,Neutral
500000000000160,001000000000160,2025-04-24,,Working,Critical,Sev2,Bug,,true,Neutral
500000000000161,001000000000161,2025-04-28,,New,High,Sev1,Bug,,true,Negative
500000000000162,001000000000162,2025-06-11,,New,Critical,Sev2,Bug,,true,Negative
500000000000163,001000000000163,2025-06-10,,Working,High,Sev2,Integration,,true,Neutral
500000000000164,001000000000164,2025-04-17,,Escalated,High,Sev2,How-to,,true,Negative
500000000000165,001000000000165,2025-05-27,,New,Critical,Sev1,How-to,,true,Neutral
500000000000166,001000000000166,2025-04-15,,New,Critical,Sev2,Performance,,true,Negative
500000000000167,001000000000167,2025-06-08,,Working,High,Sev2,Bug,,true,Negative
500000000000168,001000000000168,2025-06-08,,Working,High,Sev2,Bug,,true,Neutral
500000000000169,001000000000169,2025-05-05,,Escalated,High,Sev2,Bug,,true,Neutral
500000000000170,001000000000170,2025-05-21,,New,Critical,Sev2,How-to,,true,Negative
500000000000171,001000000000171,2025-04-12,,Escalated,Critical,Sev2,Bug,,true,Neutral
500000000000172,001000000000172,2025-05-31,,New,High,Sev2,Performance,,true,Negative
500000000000173,001000000000173,2025-04-17,,New,Critical,Sev1,Bug,,true,Negative
500000000000174,001000000000174,2025-05-25,,Working,Critical,Sev2,Performance,,true,Negative
500000000000175,001000000000175,2025-06-24,,New,Critical,Sev2,Billing,,true,Negative
500000000000176,001000000000176,2025-05-31,,New,Critical,Sev2,Billing,,true,Neutral
500000000000177,001000000000177,2025-04-10,,Escalated,High,Sev1,How-to,,true,Neutral
500000000000178,001000000000178,2025-05-27,,Working,Critical,Sev2,Performance,,true,Negative
500000000000179,001000000000179,2025-05-20,,Escalated,High,Sev2,Integration,,true,Neutral
500000000000180,001000000000180,2025-04-25,,Escalated,High,Sev1,Integration,,true,Neutral
500000000000181,001000000000181,2025-05-01,,New,High,Sev1,Bug,,true,Neutral
500000000000182,001000000000182,2025-06-30,,Escalated,High,Sev2,Integration,,true,Neutral
500000000000183,001000000000183,2025-04-21,,Escalated,High,Sev2,Integration,,true,Neutral
500000000000184,001000000000184,2025-06-07,,New,Critical,Sev2,Integration,,true,Neutral
500000000000185,001000000000185,2025-05-29,,Working,High,Sev2,Integration,,true,Negative
500000000000186,001000000000186,2025-04-15,,Escalated,High,Sev2,Bug,,true,Negative
500000000000187,001000000000187,2025-05-29,,New,High,Sev2,Performance,,true,Negative
500000000000188,001000000000188,2025-05-01,,New,Critical,Sev2,How-to,,true,Negative
500000000000189,001000000000189,2025-05-18,,Working,High,Sev2,Performance,,true,Negative
500000000000190,001000000000190,2025-06-22,,Working,High,Sev2,Billing,,true,Neutral
500000000000191,001000000000191,2025-06-19,,New,High,Sev2,Bug,,true,Neutral
500000000000192,001000000000192,2025-04-28,,New,High,Sev1,How-to,,true,Negative
500000000000193,001000000000193,2025-06-16,,Working,Critical,Sev1,Bug,,true,Neutral
500000000000194,001000000000194,2025-05-30,,Escalated,Critical,Sev1,How-to,,true,Neutral
500000000000195,001000000000195,2025-04-15,,New,Critical,Sev2,Performance,,true,Negative
500000000000196,001000000000196,2025-05-30,,Escalated,Critical,Sev1,Bug,,true,Neutral
500000000000197,001000000000197,2025-04-05,,Working,Critical,Sev2,Integration,,true,Negative
500000000000198,001000000000198,2025-05-23,,Escalated,High,Sev2,Performance,,true,Negative
500000000000199,001000000000199,2025-04-19,,Working,Critical,Sev1,Integration,,true,Negative
500000000000200,001000000000200,2025-04-28,,New,High,Sev2,Bug,,true,Neutral
500000000000201,001000000000201,2025-04-26,,Escalated,High,Sev2,Bug,,true,Neutral
500000000000202,001000000000202,2025-06-03,,New,High,Sev2,Bug,,true,Negative
500000000000203,001000000000203,2025-04-16,,New,Critical,Sev2,Bug,,true,Negative
500000000000204,001000000000204,2025-05-18,,Escalated,Critical,Sev1,Performance,,true,Negative
500000000000205,001000000000205,2025-06-09,,Escalated,High,Sev1,Integration,,true,Neutral
500000000000206,001000000000206,2025-04-08,,New,Critical,Sev1,Integration,,true,Negative
500000000000207,001000000000207,2025-06-23,,New,High,Sev2,Billing,,true,Neutral
500000000000208,001000000000208,2025-05-31,,New,High,Sev2,Billing,,true,Negative
500000000000209,001000000000209,2025-05-15,,Working,Critical,Sev2,Integration,,true,Negative
500000000000210,001000000000210,2025-04-22,,Escalated,High,Sev2,Integration,,true,Negative
500000000000211,001000000000211,2025-06-18,,Escalated,Critical,Sev2,Bug,,true,Neutral
500000000000212,001000000000212,2025-05-07,,Working,Critical,Sev2,Billing,,true,Negative
500000000000213,001000000000213,2025-04-29,,Escalated,High,Sev1,Bug,,true,Negative
500000000000214,001000000000214,2025-04-12,,New,Critical,Sev2,Bug,,true,Negative
500000000000215,001000000000215,2025-06-03,,New,High,Sev1,Integration,,true,Neutral
500000000000216,001000000000216,2025-05-24,,New,Critical,Sev2,Bug,,true,Negative
500000000000217,001000000000217,2025-05-02,,Working,Critical,Sev1,How-to,,true,Negative
500000000000218,001000000000218,2025-05-20,,New,High,Sev2,Billing,,true,Negative
500000000000219,001000000000219,2025-06-20,,Working,High,Sev1,Bug,,true,Neutral
500000000000220,001000000000220,2025-05-26,,Escalated,Critical,Sev1,How-to,,true,Neutral
500000000000221,001000000000221,2025-05-14,,Working,Critical,Sev1,Bug,,true,Negative
500000000000222,001000000000222,2025-06-25,,Working,Critical,Sev1,Billing,,true,Negative
500000000000223,001000000000223,2025-04-21,,Escalated,High,Sev2,Billing,,true,Negative
500000000000224,001000000000224,2025-05-31,,Working,Critical,Sev1,How-to,,true,Negative
500000000000225,001000000000225,2025-06-01,,New,High,Sev1,Billing,,true,Negative
500000000000226,001000000000226,2025-04-14,,Escalated,Critical,Sev2,Performance,,true,Negative
500000000000227,001000000000227,2025-04-18,,New,High,Sev2,Performance,,true,Neutral
500000000000228,001000000000228,2025-04-03,,Escalated,High,Sev2,How-to,,true,Neutral
500000000000229,001000000000229,2025-05-27,,New,High,Sev2,Bug,,true,Neutral
500000000000230,001000000000230,2025-06-29,,New,Critical,Sev2,Bug,,true,Neutral
500000000000231,001000000000231,2025-06-27,,New,High,Sev2,How-to,,true,Neutral
500000000000232,001000000000232,2025-06-24,,New,High,Sev2,Bug,,true,Negative
500000000000233,001000000000233,2025-04-15,,Escalated,Critical,Sev2,How-to,,true,Negative
500000000000234,001000000000234,2025-05-02,,Escalated,Critical,Sev1,How-to,,true,Neutral
500000000000235,001000000000235,2025-04-12,,Escalated,High,Sev2,Billing,,true,Neutral
500000000000236,001000000000236,2025-06-09,,Escalated,Critical,Sev1,Billing,,true,Neutral
500000000000237,001000000000237,2025-06-24,,New,High,Sev1,Integration,,true,Negative
500000000000238,001000000000238,2025-04-22,,Escalated,Critical,Sev2,Integration,,true,Negative
500000000000239,001000000000239,2025-05-27,,Working,High,Sev1,Bug,,true,Neutral
500000000000240,001000000000240,2025-04-07,,Escalated,Critical,Sev1,Bug,,true,Neutral
500000000000241,001000000000241,2025-04-18,,New,High,Sev1,Billing,,true,Negative
500000000000242,001000000000242,2025-06-15,,New,Critical,Sev1,Billing,,true,Neutral
500000000000243,001000000000243,2025-06-29,,Escalated,High,Sev1,Performance,,true,Neutral
500000000000244,001000000000244,2025-06-19,,Working,Critical,Sev2,Billing,,true,Neutral
500000000000245,001000000000245,2025-05-25,,Working,Critical,Sev2,Integration,,true,Negative
500000000000246,001000000000246,2025-06-23,,Working,Critical,Sev2,Integration,,true,Neutral
500000000000247,001000000000247,2025-05-19,,New,High,Sev2,Bug,,true,Neutral
500000000000248,001000000000248,2025-04-28,,Escalated,Critical,Sev2,Bug,,true,Neutral
500000000000249,001000000000249,2025-04-04,,Escalated,Critical,Sev1,Billing,,true,Neutral
500000000000250,001000000000250,2025-04-10,,New,High,Sev2,How-to,,true,Neutral
500000000000251,001000000000251,2025-06-07,,Working,High,Sev1,Billing,,true,Negative
500000000000252,001000000000252,2025-04-19,,Escalated,Critical,Sev2,How-to,,true,Negative
500000000000253,001000000000253,2025-05-24,,Working,Critical,Sev1,How-to,,true,Negative
500000000000254,001000000000254,2025-04-23,,Escalated,Critical,Sev1,Integration,,true,Neutral
500000000000255,001000000000255,2025-04-05,,Escalated,Critical,Sev2,How-to,,true,Negative
500000000000256,001000000000256,2025-05-18,,Escalated,Critical,Sev2,How-to,,true,Neutral
500000000000257,001000000000257,2025-05-27,,Escalated,High,Sev2,How-to,,true,Negative
500000000000258,001000000000258,2025-04-22,,New,High,Sev1,Performance,,true,Neutral
500000000000259,001000000000259,2025-06-27,,New,High,Sev1,Integration,,true,Negative
500000000000260,001000000000260,2025-05-21,,Escalated,Critical,Sev1,Bug,,true,Neutral
500000000000261,001000000000261,2025-04-01,,Working,High,Sev2,Integration,,true,Negative
500000000000262,001000000000262,2025-06-18,,New,Critical,Sev1,Bug,,true,Neutral
500000000000263,001000000000263,2025-04-22,,Working,High,Sev1,Billing,,true,Neutral
500000000000264,001000000000264,2025-04-21,,Escalated,Critical,Sev1,Integration,,true,Neutral
500000000000265,001000000000265,2025-05-29,,New,High,Sev2,Integration,,true,Neutral
500000000000266,001000000000266,2025-06-28,,Escalated,High,Sev2,How-to,,true,Negative
500000000000267,001000000000267,2025-06-15,,Escalated,Critical,Sev1,How-to,,true,Neutral
500000000000268,001000000000268,2025-05-26,,New,Critical,Sev1,Performance,,true,Negative
500000000000269,001000000000269,2025-04-26,,Escalated,High,Sev1,Billing,,true,Negative
500000000000270,001000000000270,2025-04-15,,Escalated,Critical,Sev2,Bug,,true,Negative
500000000000271,001000000000271,2025-05-25,,Working,High,Sev2,Performance,,true,Negative
500000000000272,001000000000272,2025-06-04,,Escalated,High,Sev2,Bug,,true,Negative
500000000000273,001000000000273,2025-06-08,,Escalated,High,Sev2,How-to,,true,Neutral
500000000000274,001000000000274,2025-05-10,,Escalated,Critical,Sev1,Bug,,true,Negative
500000000000275,001000000000275,2025-05-12,,New,High,Sev2,Bug,,true,Negative
500000000000276,001000000000276,2025-06-18,,Working,High,Sev2,Billing,,true,Negative
500000000000277,001000000000277,2025-06-08,,Escalated,Critical,Sev2,Integration,,true,Neutral
500000000000278,001000000000278,2025-06-19,,Escalated,High,Sev1,Integration,,true,Neutral
500000000000279,001000000000279,2025-05-10,,New,High,Sev2,Integration,,true,Negative
500000000000280,001000000000280,2025-04-11,,New,High,Sev1,How-to,,true,Neutral
500000000000281,001000000000281,2025-06-17,,New,High,Sev1,Performance,,true,Negative
500000000000282,001000000000282,2025-05-28,,New,High,Sev1,Performance,,true,Negative
500000000000283,001000000000283,2025-05-23,,Escalated,High,Sev1,Billing,,true,Negative
500000000000284,001000000000284,2025-05-12,,Working,High,Sev1,How-to,,true,Negative
500000000000285,001000000000285,2025-04-04,,Working,High,Sev1,Billing,,true,Negative
500000000000286,001000000000286,2025-04-24,,New,High,Sev2,Bug,,true,Negative
500000000000287,001000000000287,2025-05-17,,Escalated,High,Sev2,Billing,,true,Negative
500000000000288,001000000000288,2025-05-02,,New,Critical,Sev1,Performance,,true,Negative
500000000000289,001000000000289,2025-05-10,,New,Critical,Sev1,Billing,,true,Neutral
500000000000290,001000000000290,2025-05-18,,Escalated,Critical,Sev2,Performance,,true,Neutral
500000000000291,001000000000291,2025-06-17,,New,High,Sev2,Billing,,true,Neutral
500000000000292,001000000000292,2025-05-19,,Working,High,Sev2,Bug,,true,Negative
500000000000293,001000000000293,2025-06-25,,Escalated,Critical,Sev2,Performance,,true,Negative
500000000000294,001000000000294,2025-05-18,,Escalated,High,Sev1,Performance,,true,Neutral
500000000000295,001000000000295,2025-05-31,,Escalated,Critical,Sev1,Integration,,true,Negative
500000000000296,001000000000296,2025-06-15,,Escalated,High,Sev1,How-to,,true,Neutral
500000000000297,001000000000297,2025-06-19,,Working,Critical,Sev2,Bug,,true,Neutral
500000000000298,001000000000298,2025-05-06,,Escalated,Critical,Sev1,Bug,,true,Neutral
500000000000299,001000000000299,2025-06-17,,Working,Critical,Sev2,Integration,,true,Neutral
500000000000300,001000000000300,2025-05-12,,Escalated,Critical,Sev1,Billing,,true,Negative
500000000000301,001000000000301,2025-06-16,,Working,Critical,Sev1,How-to,,true,Neutral
500000000000302,001000000000302,2025-04-06,,Working,Critical,Sev2,Performance,,true,Negative
500000000000303,001000000000303,2025-04-27,,New,Critical,Sev2,Performance,,true,Neutral
500000000000304,001000000000304,2025-04-23,,New,High,Sev1,Performance,,true,Neutral
500000000000305,001000000000305,2025-05-30,,Escalated,Critical,Sev2,Integration,,true,Negative
500000000000306,001000000000306,2025-06-14,,New,Critical,Sev1,Bug,,true,Neutral
500000000000307,001000000000307,2025-04-06,,Working,Critical,Sev2,Billing,,true,Neutral
500000000000308,001000000000308,2025-06-10,,New,Critical,Sev1,Integration,,true,Neutral
500000000000309,001000000000309,2025-05-19,,Working,High,Sev2,Billing,,true,Neutral
500000000000310,001000000000310,2025-04-14,,Working,Critical,Sev1,Bug,,true,Neutral
500000000000311,001000000000311,2025-05-12,,Escalated,Critical,Sev1,Integration,,true,Neutral
500000000000312,001000000000312,2025-05-21,,Escalated,High,Sev1,Performance,,true,Neutral
500000000000313,001000000000313,2025-04-02,,Escalated,High,Sev2,Billing,,true,Negative
500000000000314,001000000000314,2025-06-05,,New,Critical,Sev2,Billing,,true,Neutral
500000000000315,001000000000315,2025-04-03,,Working,High,Sev2,Billing,,true,Negative
500000000000316,001000000000316,2025-04-15,,New,Critical,Sev2,How-to,,true,Negative
500000000000317,001000000000317,2025-06-17,,Working,Critical,Sev1,Performance,,true,Negative
500000000000318,001000000000318,2025-06-10,,Escalated,Critical,Sev1,Billing,,true,Neutral
500000000000319,001000000000319,2025-05-18,,Escalated,Critical,Sev1,How-to,,true,Negative
500000000000320,001000000000320,2025-05-05,,Working,High,Sev1,Billing,,true,Negative
500000000000321,001000000000321,2025-05-21,,Working,High,Sev2,Bug,,true,Neutral
500000000000322,001000000000322,2025-04-13,,Escalated,Critical,Sev1,Billing,,true,Negative
500000000000323,001000000000323,2025-04-17,,New,Critical,Sev1,Integration,,true,Neutral
